Date,BTC,RiskFree,Returns,BTC_Vol,Regime
2020-02-01,9392.875,1.5099999904632568,0.004518472151643944,51.86512664707218,Normal
2020-02-02,9344.365234375,1.5099999904632568,-0.005177910236525379,50.01218239028865,Normal
2020-02-03,9293.521484375,1.5180000066757202,-0.00545597007771587,50.230750733994334,Normal
2020-02-04,9180.962890625,1.5379999876022339,-0.0121854536490776,50.64090746245744,Normal
2020-02-05,9613.423828125,1.5199999809265137,0.04602834799275258,50.52961050889747,Normal
2020-02-06,9729.8017578125,1.5299999713897705,0.012033084493942919,48.206294339556436,Normal
2020-02-07,9795.943359375,1.5180000066757202,0.0067748353927720014,47.85198844918763,Normal
2020-02-08,9865.119140625,1.5180000066757202,0.0070368594474600355,46.47528029551336,Normal
2020-02-09,10116.673828125,1.5180000066757202,0.025179720219250152,45.8010079903941,Normal
2020-02-10,9856.611328125,1.5199999809265137,-0.026042505869956382,46.57174907922066,Normal
2020-02-11,10208.236328125,1.5379999876022339,0.03505244674627077,47.4267016745992,Normal
2020-02-12,10326.0546875,1.534999966621399,0.011475404940052,47.20277198792676,Normal
2020-02-13,10214.3798828125,1.5449999570846558,-0.010873762642183454,39.6545920196332,Calm
2020-02-14,10312.1162109375,1.534999966621399,0.009523015160699344,39.59889537647422,Calm
2020-02-15,9889.4248046875,1.534999966621399,-0.04185355039924229,42.61039370364303,Normal
2020-02-16,9934.43359375,1.534999966621399,0.004540878520857384,42.05231767048525,Normal
2020-02-17,9690.142578125,1.534999966621399,-0.02489772344158013,43.20714715935288,Normal
2020-02-18,10141.99609375,1.534999966621399,0.04557569247775114,44.35201934608901,Normal
2020-02-19,9633.38671875,1.5429999828338623,-0.05144998404328957,48.43793806853963,Normal
2020-02-20,9608.4755859375,1.5379999876022339,-0.0025892656683303506,48.4237518066745,Normal
2020-02-21,9686.44140625,1.5180000066757202,0.008081532009711982,48.29897057173241,Normal
2020-02-22,9663.181640625,1.5180000066757202,-0.002404158134973382,46.61197519547742,Normal
2020-02-23,9924.515625,1.5180000066757202,0.02668506547579107,47.24170811387787,Normal
2020-02-24,9650.1748046875,1.503000020980835,-0.028031992193656916,48.41422789799705,Normal
2020-02-25,9341.705078125,1.4900000095367432,-0.03248723753845248,49.410142566016184,Normal
2020-02-26,8820.5224609375,1.4780000448226929,-0.057407687925487366,52.189539127814314,Normal
2020-02-27,8784.494140625,1.3949999809265137,-0.004092966388449268,49.04626340780086,Normal
2020-02-28,8672.455078125,1.2300000190734863,-0.012836217768337236,49.18342232760199,Normal
2020-02-29,8599.5087890625,1.2300000190734863,-0.008446835964171201,48.523758400009704,Normal
2020-03-01,8562.4541015625,1.2300000190734863,-0.004318240904803676,48.28288065556238,Normal
2020-03-02,8869.669921875,1.1349999904632568,0.035250739590151826,50.038053640463296,Normal
2020-03-03,8787.7861328125,0.9179999828338623,-0.009274764811755473,50.092100548975615,Normal
2020-03-04,8755.24609375,0.675000011920929,-0.0037097436703969933,50.08084538693356,Normal
2020-03-05,9078.7626953125,0.5950000286102295,0.03628484201142127,51.66740166934174,Normal
2020-03-06,9122.5458984375,0.41499999165534973,0.004811004368074786,48.93651163971956,Normal
2020-03-07,8909.9541015625,0.41499999165534973,-0.02357983053034934,49.24993117106435,Normal
2020-03-08,8108.1162109375,0.41499999165534973,-0.09430352876922735,58.49418789431049,Normal
